,annee,G(i),WS10m,latitude,longitude
0,2013,192.2590616438356,3.3041050228310502,41.0,-6
1,2014,195.65717808219176,3.1726050228310503,41.0,-6
2,2015,197.9818869863014,2.955639269406393,41.0,-6
3,2016,187.81259790528233,3.5346470856102004,41.0,-6
4,2013,190.524901826484,3.312728310502283,41.5,-6
5,2014,193.05555251141553,3.25834703196347,41.5,-6
6,2015,193.38061643835616,2.994724885844749,41.5,-6
7,2016,187.2557126593807,3.5346470856102004,41.5,-6
8,2013,188.56732420091325,3.1420376712328766,42.0,-6
9,2014,191.75392694063925,3.07512899543379,42.0,-6
10,2015,191.2622705479452,2.836824200913242,42.0,-6
11,2016,170.83999430783243,3.446370673952641,42.0,-6
12,2013,185.09267579908678,3.0132602739726027,42.5,-6
13,2014,188.9578789954338,2.950889269406393,42.5,-6
14,2015,190.30045776255707,2.7330810502283107,42.5,-6
15,2016,170.2641678051002,2.9264275956284154,42.5,-6
16,2013,160.8848607305936,2.9584235159817354,43.0,-6
17,2014,164.63270433789955,2.4919566210045665,43.0,-6
18,2015,169.39116780821917,2.366462328767123,43.0,-6
19,2016,151.02033242258653,2.9264275956284154,43.0,-6
20,2013,136.5638310502283,2.2045285388127853,43.5,-6
21,2014,147.5659805936073,2.0098333333333334,43.5,-6
22,2015,140.58942694063924,1.9867602739726027,43.5,-6
23,2016,148.1925011384335,3.244285063752277,43.5,-6
24,2013,192.17028652968037,2.9131792237442924,41.0,-5
25,2014,199.1248276255708,2.877759132420091,41.0,-5
26,2015,198.30682534246577,2.576148401826484,41.0,-5
27,2016,192.5454269125683,3.5651787340619308,41.0,-5
28,2013,188.89528310502283,3.0780102739726027,41.5,-5
29,2014,197.4246678082192,3.0404086757990867,41.5,-5
30,2015,197.07321689497715,2.7459360730593607,41.5,-5
31,2016,193.288491575592,3.5651787340619308,41.5,-5
32,2013,187.13770433789955,3.7197237442922373,42.0,-5
33,2014,195.6018093607306,3.579576484018265,42.0,-5
34,2015,194.8818892694064,3.333821917808219,42.0,-5
35,2016,193.61663592896176,3.634471766848816,42.0,-5
36,2013,182.65618607305936,3.6336575342465753,42.5,-5
37,2014,188.8875821917808,3.5600833333333335,42.5,-5
38,2015,192.3109897260274,3.325042237442922,42.5,-5
39,2016,186.84890824225866,3.048698770491803,42.5,-5
40,2013,157.52069063926942,3.146702054794521,43.0,-5
41,2014,162.7880776255708,2.7463276255707765,43.0,-5
42,2015,169.0319817351598,2.618480593607306,43.0,-5
43,2016,154.21656079234972,3.048698770491803,43.0,-5
