,annee,Energie_recue,Energie_fournie,latitude,longitude,rendement_annuel,retour_énergétique
0,2013,1684189.38,228747.14409275076,41.0,-6,0.1358203221141026,13.615901434092308
1,2014,1713956.88,232396.14396387577,41.0,-6,0.13559042626782758,13.833103807373558
2,2015,1734321.33,234892.48646578327,41.0,-6,0.13543769681122658,13.98169562296329
3,2016,1649745.86,224586.02029346267,41.0,-6,0.13613370746295594,13.368215493658493
4,2013,1668998.14,226884.95100289676,41.5,-6,0.13594080518441848,13.505056607315284
5,2014,1691166.64,229602.43999737178,41.5,-6,0.1357657102302892,13.666811904605463
6,2015,1694014.2,229951.50344149777,41.5,-6,0.13574355128870688,13.687589490565344
7,2016,1644854.18,223986.38177193468,41.5,-6,0.13617400526770992,13.332522724519922
8,2013,1651849.76,224782.84513542376,42.0,-6,0.13607947319338762,13.379931258060939
9,2014,1679764.4,228204.71522066777,42.0,-6,0.13585519208566854,13.583614001230224
10,2015,1675457.49,227676.75976471926,42.0,-6,0.13588930851639766,13.55218808123329
11,2016,1500658.51,206310.3934878402,42.0,-6,0.13747990772920096,12.280380564752392
12,2013,1621411.84,221051.66293479176,42.5,-6,0.13633282888497456,13.157837079451891
13,2014,1655271.02,225202.23464744477,42.5,-6,0.1360515782167471,13.40489491949076
14,2015,1667032.01,226643.93620096127,42.5,-6,0.13595655922705482,13.490710488152457
15,2016,1495600.45,205690.35954853919,42.5,-6,0.13753028728263567,12.243473782651142
16,2013,1409351.38,195056.58134545077,43.0,-6,0.13840166768449952,11.61051079437207
17,2014,1442182.49,199081.12879346928,43.0,-6,0.13804156559512054,11.850067190087458
18,2015,1483866.63,204190.91031653827,43.0,-6,0.13760732008410909,12.154220852174896
19,2016,1326562.6,184969.13361874167,43.0,-6,0.13943490764683225,11.010067477306052
20,2013,1196299.16,168939.92649291377,43.5,-6,0.14121879555019815,10.055948005530581
21,2014,1292677.99,180754.36634339427,43.5,-6,0.13982938345178622,10.759188472821087
22,2015,1231563.38,173262.73271565078,43.5,-6,0.14068519373777644,10.313257899741117
23,2016,1301722.93,181924.20365724718,43.5,-6,0.13975647156898988,10.828821646264714
24,2013,1683411.71,228651.81469895627,41.0,-5,0.1358264370745979,13.610227065414064
25,2014,1744333.49,236119.81057931928,41.0,-5,0.13536391517617385,14.054750629721386
26,2015,1737167.79,235241.41506822428,41.0,-5,0.1354166341457576,14.002465182632397
27,2016,1691319.03,229682.19874218217,41.0,-5,0.1358006352841558,13.671559448939416
28,2013,1654722.68,225135.01729330578,41.5,-5,0.13605604130192123,13.400893886506296
29,2014,1729440.09,234294.12771442925,41.5,-5,0.13547397742724307,13.946079030620789
30,2015,1726361.38,233916.72912895077,41.5,-5,0.1354969659532993,13.923614829104212
31,2016,1697846.11,230482.31007430019,41.5,-5,0.13574982368354938,13.719185123470249
32,2013,1639326.29,223247.67622919928,42.0,-5,0.13618257548300483,13.288552156499957
33,2014,1713471.85,232336.68736162526,42.0,-5,0.1355941081621068,13.829564723906266
34,2015,1707165.35,231563.61546485027,42.0,-5,0.13564217166477183,13.78354853957442
35,2016,1700728.53,230835.64677400718,42.0,-5,0.13572750894818422,13.74021706988138
36,2013,1600068.19,218435.28681656427,42.5,-5,0.136516236109015,13.002100405747873
37,2014,1654655.22,225126.74782051478,42.5,-5,0.13605659058115732,13.400401655983023
38,2015,1684644.27,228802.90603283228,42.5,-5,0.1358167478483943,13.619220597192397
39,2016,1641280.81,223548.34610654518,42.5,-5,0.13620359462226647,13.306449173008643
40,2013,1379881.25,191444.03408511527,43.0,-5,0.13873949956571646,11.3954782193521
41,2014,1426023.56,197100.31302165377,43.0,-5,0.13821672975841562,11.732161489384152
42,2015,1480720.16,203805.20548326377,43.0,-5,0.1376392454083044,12.131262231146653
43,2016,1354638.27,188410.74330083618,43.0,-5,0.13908564926401804,11.214925196478344
44,2013,1030345.93,148596.8236161933,50.5,-5,0.14422032376659485,8.84504902477341
45,2014,1117774.47,159314.10693500226,50.5,-5,0.1425279528302362,9.482982555654896
46,2015,1086300.23,155455.88915709828,50.5,-5,0.14310582366082927,9.253326735541565
47,2016,1103571.43,157634.12897972218,50.5,-5,0.14283998724008484,9.382983867840606
48,2013,1019197.3,147230.22461412248,52.0,-5,0.14445703948992258,8.76370384607872
49,2014,1070509.44,153520.2386309915,52.0,-5,0.1434085799663677,9.138109442320921
50,2015,1067089.98,153101.0697690005,52.0,-5,0.14347531383342246,9.113158914821458
51,2016,1060274.33,152326.66293017342,52.0,-5,0.14366721764373322,9.067063269653179
52,2013,1474412.74,203032.02080980677,41.0,-4,0.13770365332695564,12.08523933391707
53,2014,1534183.22,210358.88647931477,41.0,-4,0.13711457910438804,12.521362290435404
54,2015,1584434.96,216518.91311184378,41.0,-4,0.13665370846894453,12.888030542371654
